timestamp,latency,tx_bitrate_mbps,latitude,longitude
1754910967,46.7,0.373,48.281627,11.676789
1754910968,46.9,0.297,48.281739,11.676806
1754910969,54.9,0.313,48.281849,11.676822
1754910970,49.1,0.48,48.281958,11.676836
1754910971,41.4,0.416,48.282066,11.676849
1754910972,37.9,0.32,48.282169,11.67686
1754910973,52.3,0.269,48.282271,11.676867
1754910974,57.1,0.333,48.282372,11.676875
1754910975,56.0,0.385,48.282474,11.676886
1754910976,48.9,0.293,48.282578,11.676903
1754910977,41.0,0.248,48.282682,11.676927
1754910978,36.4,0.437,48.282785,11.676952
1754910979,63.7,0.252,48.282888,11.676972
1754910980,45.2,0.408,48.282994,11.676989
1754910981,37.0,0.427,48.283103,11.677005
1754910982,51.9,0.316,48.283214,11.677022
1754910983,52.2,0.374,48.283327,11.67704
1754910984,46.7,0.302,48.283441,11.677058
1754910985,42.5,0.247,48.283557,11.677076
1754910986,54.8,0.253,48.283673,11.677096
1754910987,69.6,0.416,48.283788,11.677119
1754910988,66.2,0.425,48.283902,11.677142
1754910989,37.8,0.302,48.284014,11.677168
1754910990,75.3,0.398,48.284124,11.677194
1754910991,64.7,0.444,48.284234,11.677219
1754910992,50.1,0.403,48.284342,11.677242
1754910993,39.8,0.288,48.284454,11.677265
1754910994,61.9,0.356,48.284568,11.677289
1754910995,52.9,0.325,48.284681,11.677313
1754910996,49.8,0.313,48.284795,11.677339
1754910997,49.2,0.24,48.284908,11.677366
1754910998,45.2,0.273,48.285018,11.677393
1754910999,51.2,0.362,48.285126,11.677422
1754911000,45.0,0.236,48.285233,11.677451
1754911001,64.7,0.259,48.285339,11.677482
1754911002,45.7,0.32,48.285447,11.677516
1754911003,50.3,0.4,48.285555,11.677551
1754911004,51.7,0.402,48.285662,11.677587
1754911005,48.9,0.269,48.285768,11.677624
1754911006,56.9,0.348,48.285874,11.677662
1754911007,53.1,0.355,48.28598,11.677699
1754911008,69.5,0.256,48.286085,11.677738
1754911009,48.7,0.307,48.28619,11.677778
1754911010,56.8,0.239,48.286293,11.677818
1754911011,57.5,0.255,48.286395,11.677858
1754911012,49.3,0.369,48.286497,11.677898
1754911013,90.4,0.317,48.286599,11.677939
1754911014,51.9,0.39,48.286702,11.677981
1754911015,77.4,0.325,48.286807,11.678025
1754911016,60.9,0.302,48.286913,11.678071
1754911017,70.1,0.326,48.287018,11.678117
1754911018,216.0,0.248,48.287123,11.678163
1754911019,69.1,0.34,48.287228,11.678211
1754911020,48.7,0.395,48.287334,11.678259
1754911021,39.2,0.396,48.287439,11.678307
1754911022,50.8,0.257,48.287544,11.678355
1754911023,112.0,0.395,48.287651,11.678403
1754911024,53.6,0.335,48.287757,11.678454
1754911025,53.3,0.308,48.287864,11.678506
