timestamp,latency,tx_bitrate_mbps,latitude,longitude,bw_timestamp,total,lost,time_interval
1754910663,48.0,0.435,48.261119,11.669521,1754913450,4717,0,1.143564
1754910663,48.0,0.435,48.261119,11.669521,1754915114,4717,0,1.079489
1754910663,48.0,0.435,48.261119,11.669521,1754915116,4717,79,1.100596
1754910664,62.8,0.379,48.26113,11.669423,1754913452,4717,0,1.128421
1754910664,62.8,0.379,48.26113,11.669423,1754915113,4717,0,1.086298
1754910664,62.8,0.379,48.26113,11.669423,1754915114,4717,0,1.079489
1754910665,46.8,0.372,48.261142,11.669318,1754913452,4717,0,1.128421
1754910665,46.8,0.372,48.261142,11.669318,1754913453,4717,3,1.147051
1754910665,46.8,0.372,48.261142,11.669318,1754915113,4717,0,1.086298
1754910665,46.8,0.372,48.261142,11.669318,1754915114,4717,0,1.079489
1754910666,45.0,0.447,48.261154,11.669209,1754913452,4717,0,1.128421
1754910666,45.0,0.447,48.261154,11.669209,1754913453,4717,3,1.147051
1754910666,45.0,0.447,48.261154,11.669209,1754915113,4717,0,1.086298
1754910667,48.1,0.372,48.261167,11.669098,1754913453,4717,3,1.147051
1754910667,48.1,0.372,48.261167,11.669098,1754915111,4717,0,1.090496
1754910668,45.3,0.331,48.26118,11.668986,1754915110,4717,0,1.21386
1754910668,45.3,0.331,48.26118,11.668986,1754915111,4717,0,1.090496
1754910669,40.2,0.351,48.261192,11.668872,1754913456,4717,2,1.083437
1754910669,40.2,0.351,48.261192,11.668872,1754915110,4717,0,1.21386
1754910670,46.6,0.364,48.261205,11.668756,1754913456,4717,2,1.083437
1754910671,51.9,0.391,48.261218,11.668639,1754913456,4717,2,1.083437
1754910671,51.9,0.391,48.261218,11.668639,1754915108,4717,10,1.108635
1754910672,59.8,0.345,48.261232,11.668521,1754913458,4717,27,1.927783
1754910672,59.8,0.345,48.261232,11.668521,1754915108,4717,10,1.108635
1754910673,46.1,0.316,48.261246,11.668399,1754913458,4717,27,1.927783
1754910673,46.1,0.316,48.261246,11.668399,1754915106,4717,0,1.095778
1754910674,41.8,0.23,48.261261,11.668272,1754915106,4717,0,1.095778
1754910675,47.9,0.361,48.261277,11.66814,1754915105,4717,0,1.131276
1754910675,47.9,0.361,48.261277,11.66814,1754915106,4717,0,1.095778
1754910676,52.7,0.301,48.261293,11.668007,1754915105,4717,0,1.131276
1754910677,47.6,0.246,48.261309,11.667872,1754913462,4717,0,2.634719
1754910678,56.9,0.255,48.261325,11.667737,1754913462,4717,0,2.634719
1754910678,56.9,0.255,48.261325,11.667737,1754915103,4717,0,1.114453
1754910679,46.2,0.256,48.261341,11.6676,1754915102,4717,0,1.107848
1754910679,46.2,0.256,48.261341,11.6676,1754915103,4717,0,1.114453
1754910680,42.6,0.329,48.261358,11.667459,1754913465,4717,24,1.424467
1754910680,42.6,0.329,48.261358,11.667459,1754915102,4717,0,1.107848
1754910681,53.6,0.294,48.261375,11.667318,1754913465,4717,24,1.424467
1754910682,57.9,0.353,48.261392,11.667176,1754913465,4717,24,1.424467
1754910682,57.9,0.353,48.261392,11.667176,1754915100,4717,83,1.089282
1754910683,42.2,0.325,48.261409,11.667032,1754915099,4717,74,1.978642
1754910683,42.2,0.325,48.261409,11.667032,1754915100,4717,83,1.089282
1754910684,53.0,0.411,48.261426,11.666885,1754913468,4717,0,1.448402
1754910684,53.0,0.411,48.261426,11.666885,1754915099,4717,74,1.978642
1754910685,44.7,0.312,48.261445,11.666735,1754913468,4717,0,1.448402
1754910687,50.8,0.276,48.261482,11.666435,1754913470,4717,0,1.63423
1754910688,52.1,0.274,48.2615,11.666285,1754913470,4717,0,1.63423
1754910688,52.1,0.274,48.2615,11.666285,1754915095,4717,0,2.522733
1754910689,46.7,0.385,48.261517,11.666134,1754915095,4717,0,2.522733
1754910691,47.6,0.336,48.261551,11.665837,1754913474,4717,27,2.401336
1754910692,47.9,0.414,48.261568,11.665687,1754913474,4717,27,2.401336
